Site,Latitude,Longitude,,,Record,,,References
Boigu Gawat Core 2,-10.1,142.14,10,coastal,"macro, sieved",13.82,3.62,"Rowe, 2007"
Talita Kupai,-10.1,142.12,33,coastal,"macro, sieved",2.41,61.72,"Rowe, 2006a"
Tiam Point,-10.12,142.18,3,coastal,"micro, pollen slide",7.7,6.62,"Rowe, 2006a, Rowe, 2007"
Zurath Islet,-10.16,142.06,3,coastal,"macro, sieved",11.83,5.41,
Waruid,-10.4,142.09,5,coastal,"macro, sieved",7.2,27.1,"Rowe, 2006a, Rowe, 2007"
Lombok Ridge Core G6-4,-10.7833,118.0667,-3510,marine,"micro, pollen slide",375.2,0.36,"Wang et al., 1999"
Quambie Lagoon,-12.5,131.17,20,lacustrine,"macro, sieved",6.54,17.59,"J. Stevenson, unpublished data"
Tagamaucia,-16.49,-179.56,820,lacustrine,"micro, pollen slide",16.36,3.79,"Hope, 1996a"
Sari,-16.63,179.5,67,mire,"micro, pollen slide",6.53,3.52,"Hope et al., 2009"
ODP Site 820,-16.6333,146.3,-280,marine,"micro, pollen slide",100.5,1.1,"Moss and Kershaw, 2000"
Yacata,-17.156,-179.51,2,mire,"micro, pollen slide",6.5,4.77,"Hope et al., 2009"
Lake Euramoo,-17.1599,145.6286,718,lacustrine,"macro, sieved",23.48,32.71,"Haberle, 2005"
Soleve,-17.25,-179.49,2,mire,"micro, pollen slide",7.16,2.93,"Clark and Hope, 1997"
Lynchs Crater,-17.3667,145.7,760,lacustrine,"macro, sieved",234.75,1.11,"Kershaw et al., 2007"
Lynchs Crater (holocene core),-17.3667,145.7,760,lacustrine,"micro, pollen slide",7.39,3.52,"Kershaw, 1983"
Mago Island,-17.44,179.157,2,mire,"micro, pollen slide",7.84,2.04,"Hope et al., 2009"
Nadrau,-17.75,177.88,680,terrestrial,"micro, pollen slide",2.25,13.78,"Hope et al., 2009"
Doge Doge,-17.9066,177.2776,8,fluvial,"micro, pollen slide",8.58,1.86,"Hope et al., 2009"
Bonatoa,-18.07,178.53,4,mire,"micro, pollen slide",5.41,5.18,"Hope, 1996a, Hope et al., 1999"
Navatu,-18.07,178.53,4,mire,"micro, pollen slide",8.3,2.41,"Hope et al., 2009"
Voli Voli,-18.16,177.485,2,mire,"micro, pollen slide",5.87,7.15,"Dickinson et al., 1998"
Vunimoli,-18.22,177.88,251,mire,"micro, pollen slide",4.75,2.11,"Hope et al., 1996, Hope et al., 1999"
Waitabu,-18.23,-178.781,43,other,"micro, pollen slide",1.71,18.16,"Latham et al., 1983"
Evoran Pond,-18.7613,169.0118,194,lacustrine,"micro, pollen slide",2.56,10.92,"G. Hope, unpublished data"
Wanda,-2.33,121.23,440,mire,"micro, pollen slide",49.3,1.24,"Hope, 2001"
Lake Hordorli,-2.533,140.55,680,mire,"micro, pollen slide",63.45,0.95,"Hope and Tulip, 1994"
Anumon Swamp,-20.163,169.828,45,mire,"micro, pollen slide",1.87,4.27,"Hope, 1996b"
Whitehaven Swamp,-20.3,148.9,45,mire,"micro, pollen slide",8.04,6.6,"Genever et al., 2003"
Koumac,-20.65,164.283,2,coastal,"micro, pollen slide",6.38,0.94,"Hope et al., 1999"
Core Fr10/95-GC-17,-22.0458,113.5018,-1093,marine,"micro, pollen slide",101.64,0.96,"Van der Kaars and De Deckker, 2002"
Lac Suprin,-22.18,166.59,230,lacustrine,"micro, pollen slide",33.17,1.42,"Hope and Pask, 1998"
Saint Louis Lac,-22.23,166.55,5,mire,"micro, pollen slide",7.19,8.63,"Stevenson, 2004"
Plum Swamp,-22.26,166.61,40,mire,"micro, pollen slide",23.05,3.38,"Stevenson, 1998"
Xere Wapo B,-22.29,166.97,220,lacustrine,"micro, pollen slide",126.04,0.52,"Stevenson and Hope, 2005"
Xere Wapo C,-22.29,166.97,220,lacustrine,"macro, sieved",78.8,3.55,"Stevenson and Hope, 2005"
Xere Wapo D,-22.29,166.97,220,lacustrine,"macro, sieved",80,3.26,"Stevenson and Hope, 2005"
Lake Coomboo,-25.2195,153.1959,90,lacustrine,"micro, pollen slide",202.31,0.31,"Longmore, 1997"
Allom Lake,-25.2333,153.1667,100,lacustrine,"macro, sieved",57,2.14,"Donders et al., 2006"
Dalhousie Springs,-26.4167,135.52,150,spring,"micro, pollen slide",1.96,9.71,"Boyd, 1990"
Native Companion Lagoon,-27.6754,153.4107,20,coastal,"micro, pollen slide",34.5,1.68,"Petherick et al., 2008"
Lake Eyre (Core LE 82-2),-28.5,137.25,-15,lacustrine,"micro, pollen slide",39.18,1.51,"Gillespie et al., 1991, Luly, 2001"
Boggy Swamp,-29.9611,151.4986,1160,mire,"micro, pollen slide",12.49,6.73,"Dodson et al., 1986"
Butchers Swamp,-29.9722,151.4522,1230,mire,"micro, pollen slide",14.21,2.25,"Dodson et al., 1986"
Hogayaku,-3.983,137.383,3580,lacustrine,"micro, pollen slide",5.37,10.43,"Hope, 2007b"
Black Swamp,-30.0206,151.4828,1450,mire,"micro, pollen slide",10.62,6.21,"Dodson et al., 1986"
Sapphire Swamp,-30.0341,151.5604,1260,mire,"micro, pollen slide",0.35,62.86,"Dodson et al., 1986"
Cuddie Springs,-30.3795,147.3117,127,lacustrine,"micro, pollen slide",57.45,0.54,"Field et al., 2002"
Lake Frome,-30.68,139.78,40,lacustrine,"micro, pollen slide",22.68,5.07,"Singh and Luly, 1991, Luly and Jacobsen, 2000, Luly, 2001"
Burraga Swamp,-32.0281,151.4334,1462,mire,"micro, pollen slide",1.87,17.16,"Dodson et al., 1994c"
Worimi Swamp,-32.5166,152.3333,8,mire,"macro, sieved",2.46,36.53,"Mooney and Maltby, 2006"
Grey Pole Swamp Broughton Island,-32.6149,152.3173,9,mire,"macro, sieved",5.38,46.44,"Horn, 2005"
Redhead Lagoon,-32.9944,151.7208,65,lacustrine,"micro, pollen slide",79.79,1.25,"Williams, 2005"
Howes Waterhole Swamp,-33.0167,150.6667,280,mire,"macro, sieved",2.37,75.95,"Mason, 2004"
Kings Waterhole,-33.0167,150.6667,280,mire,"macro, sieved",6.3,17.15,"Black, 2001"
Hopwoods Lagoon,-33.217,150.9933,38,lacustrine,"macro, sieved",0.66,60.94,"Smeulders, 1999"
Griffith Swamp,-33.2833,151,20,mire,"macro, sieved",6.43,42.33,"Mooney et al., 2007"
Newnes Swamp,-33.3825,150.2222,1060,mire,"micro, pollen slide",13.15,1.37,"Chalson, 1991"
Mill Creek,-33.4043,151.0303,4,terrestrial,"micro, pollen slide",10.54,3.51,"Devoy et al., 1994"
Goochs Swamp,-33.45,150.26,960,mire,"macro, sieved",14.06,5.12,"Black and Mooney, 2006"
Mountain Lagoon,-33.5,150.5167,604,lacustrine,"micro, pollen slide",23.82,0.21,"Robbie, 1998"
Burralow Creek Swamp,-33.5333,150.6333,320,mire,"micro, pollen slide",1.05,12.34,"Chalson, 1991"
South Salvation Creek Swamp,-33.6326,151.2587,132,mire,"micro, pollen slide",4.78,4.19,"Kodela and Dodson, 1988"
Penrith Lakes,-33.7139,150.6774,18,lacustrine,"micro, pollen slide",37.88,1.74,"Chalson, 1991"
Katoomba Swamp,-33.7173,150.3189,950,mire,"micro, pollen slide",7.16,3.63,"Chalson, 1991"
Warrimoo Swamp,-33.7226,150.6162,195,mire,"micro, pollen slide",4.63,6.27,"Chalson, 1991"
Kings Tableland Swamp,-33.7333,150.4833,780,mire,"micro, pollen slide",18.39,1.36,"Chalson, 1991"
Kings Tableland Swamp (short core),-33.7333,150.4833,780,mire,"macro, sieved",1.06,94.54,"Chalson, 1991, Black, 2001"
Ingar Swamp,-33.7699,150.4563,584,mire,"micro, pollen slide",8.01,2.62,"Chalson, 1991"
Notts Swamp,-33.8098,150.4076,682,mire,"micro, pollen slide",7.94,2.14,"Chalson, 1991"
Queens Swamp Core QS 3,-33.9002,150.5916,665,mire,"macro, sieved",10.67,22.21,"S. Mooney, unpublished data"
Warrananga,-33.97,141.56,22,lacustrine,"micro, pollen slide",10.96,4.93,"Cupper, 2005, Cupper, 2006"
Kurnell Fen,-34.01,151.1,15,coastal,"micro, pollen slide",9.19,3.59,"Martin, 1994"
Kurnell Swamp,-34.0333,151.2167,2,mire,"micro, pollen slide",2,5.5,"Martin, 1994"
Jibbon Lagoon,-34.0833,151.15,65,mire,"macro, sieved",1.58,48.75,"Mooney et al., 2001"
Lake Couridjah Thirlmere Lakes,-34.2322,150.542,310,lacustrine,"macro, sieved",15.42,1.95,"Clark, 1997"
Lake Baraba Thirlmere Lakes,-34.2342,150.5397,305,lacustrine,"macro, sieved",54.6,1.7,"Black et al., 2006"
Gallahers Swamp,-34.29,150.43,535,mire,"micro, pollen slide",22.21,0.9,"Hope, 2005a"
Rock Arch Swamp,-34.3,150.39,575,mire,"micro, pollen slide",10.87,1.2,"Hope, 2005a"
Byenup Lagoon Site 1,-34.4667,116.7333,175,lacustrine,"micro, pollen slide",4.9,3.67,"Dodson and Lu., 2000"
Byenup Lagoon Site 2,-34.4667,116.7167,175,lacustrine,"micro, pollen slide",13.2,1.36,"Dodson and Lu., 2000"
Wet Lagoon,-34.47,149.25,700,mire,"micro, pollen slide",2.3,12.17,"Dodson, 1986"
Wingecarribee Swamp W2,-34.5666,150.5166,685,mire,"macro, sieved",3.5,124.68,"de Montford, 2008"
Killalea Lagoon,-34.6003,150.8678,22,coastal,"micro, pollen slide",1.93,12.44,"Dodson et al., 1993"
Wildes Meadow Swamp,-34.6208,150.5111,670,mire,"micro, pollen slide",3.62,3.04,"Kodela, 1996"
Pine Camp,-34.75,141.13,21.4,lacustrine,"micro, pollen slide",30.76,1.56,"Cupper, 2005, Cupper, 2006"
Breadalbane,-34.8,149.5167,694,lacustrine,"micro, pollen slide",6.5,2.62,"Dodson, 1986"
Wilson Bog,-34.97,138.69,425,mire,"macro, sieved",7.18,13.23,"Buckman et al., 2009"
Lake George,-35.0656,149.4181,673,lacustrine,"micro, pollen slide",116.71,0.58,"Singh et al., 1981, Singh and Geissler, 1985"
Ryans Swamp,-35.09,150.39,8,mire,"micro, pollen slide",4.45,6.29,"Radclyffe, 1993"
Blundells Flat,-35.19,148.49,762,mire,"macro, sieved",2.69,90.7,"Hope et al., 2006b"
Ginini Flats,-35.31,148.46,1590,mire,"micro, pollen slide",3.45,4.35,"Hope et al., 2005"
Lake Tyrrell1,-35.31,142.78,42,lacustrine,"micro, pollen slide",17.46,2.98,"Longmore et al., 1986, Luly et al., 1986, Luly, 1993, Luly, 1998"
Lake Tyrrell2,-35.31,142.78,42,lacustrine,"micro, pollen slide",11.69,12.07,"Longmore et al., 1986, Luly et al., 1986, Luly, 1993, Luly, 1998"
Micalong Swamp,-35.3333,148.5167,1100,mire,"micro, pollen slide",15.95,3.45,"Kemp, 1993"
Tom Gregory Swamp,-35.38,148.49,1024,mire,"micro, pollen slide",12.39,1.29,"Hope, 2005b"
Muellers Rock,-35.39,148.5,1102,mire,"micro, pollen slide",10.57,1.99,"Worthy et al., 2005"
Nursery Swamp,-35.41,148.58,1092,mire,"micro, pollen slide",11.28,2.13,"Rogers and Hope, 2006"
Mulloon,-35.4417,149.5567,799,mire,"micro, pollen slide",3.95,5.07,"G. Hope, unpublished data"
Yaouk Swamp,-35.49,148.5,1100,lacustrine,"micro, pollen slide",12.01,2.5,"J. Keaney and G. Hope, unpublished data"
Snowy Flats,-35.54,148.47,1618,mire,"micro, pollen slide",9.18,2.72,"Hope et al., 2005"
Rotten Swamp (high-res study),-35.7,148.8833,1445,mire,"micro, pollen slide",6.31,56.74,"Hope and Clark, 2008"
Rotten Swamp Core 4,-35.7,148.8833,1445,mire,"micro, pollen slide",11.41,1.58,"Clark, 1986"
Lashmars Lagoon,-35.8,138.0667,2,lacustrine,"micro, pollen slide",12.95,5.41,"Clark, 1983"
Cotter Source Bog margin,-35.9667,148.8167,1755,mire,"micro, pollen slide",10.68,1.68,"Jones, 1990"
Cotter Source Bog center,-35.9667,148.8167,1755,mire,"micro, pollen slide",6.93,2.31,"Jones, 1990, Hope and Clark, 2008"
Hogan’s Billabong,-36.025,146.7153,140,lacustrine,"micro, pollen slide",1.92,18.23,"Reid et al., 2007"
Blue Lake Kosciuzko,-36.141,148.437,1950,lacustrine,"macro, sieved",8.18,60.43,"Raine, 1974"
Brooks Ridge Fen,-36.1583,148.5944,1450,mire,"micro, pollen slide",1.65,8.48,"Mooney et al., 1997"
Rennix Gap,-36.22,148.3,1570,terrestrial,"micro, pollen slide",11.94,3.02,"G. Hope, unpublished data"
Bobundara Swamp,-36.25,150.06,75,coastal,"micro, pollen slide",8.01,9.99,"Hope et al., 2006a"
Club Lake,-36.4,148.3166,1980,lacustrine,"micro, pollen slide",0.84,64.06,"Dodson et al., 1994a"
Bega Swamp,-36.5167,149.5,1080,mire,"micro, pollen slide",12.25,39.92,"Polach and Singh, 1980"
Kohuora,-36.57,174.52,73,lacustrine,"micro, pollen slide",32.43,4.87,"Newnham et al., 2007a"
Bondi Lake Centre Core,-36.8061,149.9378,22,coastal,"micro, pollen slide",1.16,34.4,"Dodson et al., 1993"
Bondi Lake South Core,-36.8061,149.9378,22,coastal,"micro, pollen slide",2.12,13.19,"Dodson et al., 1993"
Tea Tree Swamp Core DRA,-37.2167,148.8333,900,mire,"micro, pollen slide",0.03,490.2,"Gell et al., 1993"
Tea Tree Swamp Core DRE,-37.2167,148.8333,900,mire,"micro, pollen slide",0.52,29.12,"Gell et al., 1993"
Tea Tree Swamp Core DRN-A,-37.2167,148.8333,900,mire,"micro, pollen slide",0.54,126.8,"Gell et al., 1993"
Caledonia Fen,-37.3333,146.7333,1280,mire,"micro, pollen slide",140.72,1.21,"Kershaw et al., 2007"
Tom Burns (D-section Core),-37.3833,145.8167,1075,Mire,"micro, pollen slide",12.07,2.57,"McKenzie, 1997"
Tom Burns (Missen Core),-37.3833,145.8167,1075,Mire,"micro, pollen slide",31.56,0.48,"McKenzie, 1997"
Poley Creek,-37.4078,145.2189,630,mire,"micro, pollen slide",19.24,1.77,"Pittock, 1989"
Buxton,-37.4483,145.6919,235,mire,"micro, pollen slide",7.2,5.83,"McKenzie, 2002"
Boulder Flat,-37.45,148.92,25,terrestrial,"micro, pollen slide",27.22,1.25,"Kenyon, 1989"
Storm Creek,-37.45,145.8,1177,Mire,"micro, pollen slide",29.33,1.4,"McKenzie, 1997"
Lake Mountain,-37.469,145.875,1450,mire,"micro, pollen slide",8.66,2.42,"McKenzie, 1997"
North Torbreck,-37.4814,146.9472,564,fluvial,"micro, pollen slide",13.48,1.56,"McKenzie, 2002"
Snobs Creek,-37.558,145.928,775,mire,"micro, pollen slide",15.32,2.02,"McKenzie, 1997"
Oaks Creek,-37.5856,146.1667,610,mire,"micro, pollen slide",6.5,4,"McKenzie, 2002"
Bolin Billabong combined core,-37.7667,145.0667,50,fluvial,"micro, pollen slide",0.87,46.91,"Leahy et al., 2005"
Lake Curlip,-37.8333,148.565,2,lacustrine,"micro, pollen slide",0.32,99.96,"Ladd, 1978"
Powelltown,-37.8667,145.7031,168,mire,"micro, pollen slide",7.27,3.3,"McKenzie, 2002"
Loch Sport Swamp,-37.9666,147.6833,2,mire,"micro, pollen slide",9.26,3.13,"Hooley et al., 1980"
Lake Surprise,-38.0612,141.9223,93,lacustrine,"micro, pollen slide",33.3,2.34,"Builth et al., 2008"
Lake Condah,-38.0667,141.8333,60,lacustrine,"micro, pollen slide",11.18,2.95,"Builth et al., 2008"
Long Swamp,-38.0833,141.0833,2,mire,"micro, pollen slide",6.7,4.92,"Head, 1988"
Tiger Snake Swamp,-38.1313,145.2758,60,mire,"micro, pollen slide",8.41,2.73,"Aitken and Kershaw, 1993"
Tadpole Swamp,-38.1317,145.2756,60,mire,"micro, pollen slide",10.24,1.85,"Aitken and Kershaw, 1993"
Fred South Swamp,-38.1368,141.7835,27,mire,"micro, pollen slide",18.03,1.16,"Builth et al., 2008"
Tyrendarra Swamp,-38.1986,141.7626,13,marsh,"micro, pollen slide",31.63,1.04,"Builth et al., 2008"
Bridgewater Lake Core B,-38.3,141.3833,20,lacustrine,"micro, pollen slide",4.86,7.62,"Head, 1988"
Cobrico Swamp,-38.3,143.0333,140,mire,"micro, pollen slide",0.64,15.71,"Dodson et al., 1994b"
Main Lake Tower Hill,-38.3167,142.3667,20,lacustrine,"micro, pollen slide",12.91,4.34,"D’Costa et al., 1989"
